Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
p		4.2.7	roof	ruf	-u|diw	tekt.um	trufa		diwu		$x_1$ is a roof in house $x_2*$	
p		4.2.7	wall,fence	fens	/lan-gan	saep.es		pawa	psae		$x_1$ is a fence or wall around territory $x_2*$	
p		4.2.7	floor	flor	!di|ban	sol.um	fordi		flol		$x_1$ is a floor in structure $x_2*$	
p		4.2.7	wall	ual	/ciaw	pary.es	tcali	psae	pawa		$x_1$ is a wall in house $x_2*$	
p		4.2.7	shelf	qelf	-qu!jia	plute.us	celna		quel		$x_1$ is a shelf in structure $x_2*$	
p		4.2.7	stair,staircase	ster	/ji	skalae	stire		sker		$x_1$ is a staircase in house $x_2*$	
p		4.2.7	door	dor	/men	osti.um	darto		stio		$x_1$ is a door in structure $x_2*$	
p		4.2.7	balcony	balkoni	/iaw/tai		balko		bnia		$x_1$ is a balcony of house $x_2*$	
t		4.2.8	Houses and Other Buildings	-	-	-			428		$x_1$ is a residence of resident $x_2*$	
p	15	4.2.8	house,resident,reside	haus	/faw-u	dom.us	hasfa		dowu		$x_1$ is a house of $x_2:*$	
p		4.2.8	cabin	kabyn	/faw-tsaw	kasa	kabna		ksaw		$x_1$ is a cabin of $x_2:*$ on conveyance $x_3$	E.g. on a ship.  For a small house use -dowu |spl.
p		4.2.8	nest	nest	-uo	nid.us	nensu		stuo		$x_1$ is a nest of $x_2:*$	
p		4.2.8	building	byldw	!da/lou	edyfik.ium	hasfa		vdyl		$x_1$ is a building with content $x_2*$	X2 could be houses, shops, a school.
p		4.2.8	tent	tent	!jaw/p#w	tabernakul.um	tenta		pwen		$x_1$ is a tent of $x_2:*$	
p		4.2.8	bed	bed	/cuaw	lekt.us	bedpu		zbew		$x_1$ is a bed of sleeper $x_2*$	
t		4.2.9	General and Abstract Artifacts	-	-	-			429			
r		4.2.9	machine	maqin	-ji!ci	macina	matci	fwa,tsy	cin		$x_1$ is a machine with function (vo) $x_2+1$	-cin is a unitary thing while -fwa is a system.
r		4.2.9	device,apparatus	divais	-faw|fa	aparat.us	patce	cin,tsy	fwa		$x_1$ is a device or apparatus for function (vo) $x_2+1$	-fwa is a system as compared to -cin which is more of a unit.
r		4.2.9	structure	str#kcr	!gou!dzau	kompag.es	truke		gom		$x_1$ is a structure for purpose (vo) $x_2+1$	A space-filling system of parts in which motion is not the major goal; generally support is the purpose.
r		4.2.9	equipment,furniture	ikuypmnt	-gow!ju	arma	nilce*	tum	kma		$x_1$ is an item of equipment for purpose (vo) $x_2+$	Use -kma -koaw for room furniture.
r		4.2.9,1.5.2	tool,instrument	tul	-guw!jiu	ynstrument.um	trime	ziu	tum		$x_1$ is a tool for activity (vo) $x_2+1$	Modal case for a tool specifically; use |ziu when the sense is a means to an end.
t		4.3.0	Food	-	-	-			430			You rarely devour the whole creature.  Name the edible part and put the species predicate in its X2.
t		4.3.1	Protein and Milk Products	-	-	-			431			
p		4.3.1	butter	butr	/niu/iou		batra		buiu	matne1=>1	(xo) $x_1$ is some butter	
p		4.3.1	cream	krim	|nai/iou		krima		kimi		(xo) $x_1$ is some cream	
p		4.3.1	cheese	ciz	|lu!lo	kase.us	nikri		kseo		(xo) $x_1$ is some cheese	
p		4.3.1	milk	mylk	|nai	lak	malna		qkmy		(xo) $x_1$ is some milk of animal $x_2*$	
p		4.3.1	steak	staik	/niou/pai		bifte	koro	stai		$x_1$ is a steak from kind of animal (xo) $x_2*$	A piece of meat making a single serving.
p		4.3.1	meat	mit	!rou	karo	mitro	stai	koro		(xo) $x_1$ is some meat of animal $x_2*$	
t		4.3.2	Fruits and Sweets	-	-	-			432			
p		4.3.2	marmelade	marmelad	/ju-dz!jiaw		marme	vjiw	drma		(xo) $x_1$ is some marmelade	Orange peel jelly.
p		4.3.2	chocolate	cokolat	-	-	tcoko		fcol		(xo) $x_1$ is some chocolate	
p		4.3.2	melon	mel#n	-gua		melno		gmel		$x_1$ is a melon	A big, juicy fruit with many seeds.
p		4.3.2	cocoa	koko	-	-	kalko		kowo		(xo) $x_1$ is some cocoa	
p		4.3.2	soda,carbonated,coke	sod#	-su/da		sodva		psow		(xo) $x_1$ is some soda of main flavor (xr) $x_2$	A beverage.  Not for Na_2CO_3.  ``Coke'' is a trademark of the Coca-Cola Bottling Company, sometimes misused generically.
p		4.3.2	berry	beri	!jiaw|guo	baka	jbari*	ftu	biaw		$x_1$ is a berry of plant $x_2*$	A small, round fruit.
p		4.3.2	sugar	q#gr	/taw		sakta		qtaw		(xo) $x_1$ is some sugar	
p		4.3.2	jelly	jeli	|guo!jiaw		dzeli		vjiw		(xo) $x_1$ is some jelly from fruit (xo) $x_2*$	
t		4.3.3	Starch and Grains	-	-	-			433			
p		4.3.3	noodle	nudl	!mian		nudlo+		dlnu		$x_1$ is a noodle of grain (xo) $x_2*$	
p		4.3.3	cake	kak	-gao	plakenta	grato		qkao		$x_1$ is a cake with special ingredient (xo) $x_2*$	E.g. carrot cake, banana cake.
q		4.3.3	starch	starc	!dian|f#n		jalna*		vda		$x_1$ is some starch	
p		4.3.3	bread	bred	!mien|bau	pan.ys	breba		bene		(xo) $x_1$ is some bread made of grain (xo) $x_2*$	
q		4.3.3	grain	grain	|u|gu	frument.um	grunu	smem	xgu		$x_1$ is a grain of plant $x_2*$	Edible seed of grass.  Not for small bits.
t		4.3.4	Recreational Drugs	-	-	-			434			
p		4.3.4	wine	uain	|jiou	vin.um	vinjo	kuor	gvin		(xo) $x_1$ is some wine from fruit (xo) $x_2*$	X2 typically grapes.
p		4.3.4	beer	bir	/pi|jo		birju	kuor	fpir		(xo) $x_1$ is some beer from grain (xo) $x_2*$	
p		4.3.4	cigar	sygar	-si|ue-jia-ian		sagro		jiue		$x_1$ is a cigar of species of leaf (xo) $x_2*$	
p		4.3.4	liquor	lykuor	|jio		likro	gvin,fpir	kuor		(xo) $x_1$ is some liquor with special ingredient (xo) $x_2*$	Distilled, alcoholic.
p		4.3.4	cigarette	sygaret	-siaw-ian		sigre		psye		$x_1$ is a cigarette of kind of leaf (xo) $x_2*$	
t		4.3.5	Vegetables and Other Foods	-	-	-			435			
q		4.3.5	meal	mil	-tsan	kib.us	milfa		fki		$x_1$ is a meal of foods (xy) $x_2s*$	
q		4.3.5	food	fud	/qr!u	kib.us	tcidi	crw	kqu		(xo) $x_1$ is some food for eater $x_2*$	
p		4.3.5	sandwich	sanduyc	-san/uen!jr		sandi*		psan		$x_1$ is a sandwich of food (xo) $x_2*$ between slices (xo-bene) $x_3$	Includes structural materials not for eating.
p		4.3.5	soup	sup	-taw		supta		psuw		(xo) $x_1$ is some soup with major ingredient (xo) $x_2*$	Includes coffee and tea.
p		4.3.5	sauce	sas	!jiaw/iou	yus	sanso*		sawi		$x_1$ is a sauce for food (xo) $x_2$ with major ingredient (xo) $x_3*$	
q		4.3.5	vegetable	vejt#bl	!tsai	hol.ys	stagi*	ftu	tsa		$x_1$ is a vegetable	Edible roots and stems.  In English some fruits are mis-classified as vegetables, e.g. tomato or squash.
p		4.3.5	salad	sal#d	-qew!tsai	aketerya	salta*		tewa		$x_1$ is a salad with main ingredient (xo) $x_2*$	
p		4.3.5	spice	spais	-siaw!liau	kondyment.um			siwi		(xo) $x_1$ is some spice	Minor ingredient to add flavor.
t		4.4.0	Information	-	-	-			440			
t		4.4.1	Works of Art	-	-	-			441		$x_1:$ is a work of art about topic $x_2$ by author $x_3$ interpreted by performer $x_4$	
p		4.4.1	drama,play	drama	!si!jiu	fabula	draci*		jiul		$x_1$ is a drama about (vo) $x_2:$ by $x_3:M2$ performed by $x_4:$	With live actors.
p		4.4.1	picture	pykcr	!hua	pyktura	tcure		fpyr		$x_1$ is a picture of $x_2:$ by $x_3:M2$	
p		4.4.1	music	miuzyk	-in!ue	musyka	muzgi		zymu		$x_1$ is a musical composition about (vo) $x_2:$ by $x_3:M2$ performed by $x_4:$	Only ``program music'' has a legitimate X2; case order matches other works of art.
p		4.4.1	fiction	fykqn	!gu-qr	fabula	fikco	stor	kqnu		$x_1$ is a work of fiction about (vo) $x_2:$ by $x_3:M2$	Emphasizes that the content is not fact.
p		4.4.1	book	buk	-qu	lyber	bukcu		kquy		$x_1$ is a book about (vo) $x_2:$ by $x_3:M2$	
p		4.4.1	cinema,movie	synema	!dian|iw		sinma		psyn		$x_1$ is a movie or cinema about (vo) $x_2:$ by $x_3:M2$ performed by $x_4:$	Includes videotape.  X3 would include the author of the story or screenplay.  The director could be in X4.
p		4.4.1	poem	poem	-qr	karmen	virsa	pror	krme		$x_1$ is a poem about (vo) $x_2:$ by $x_3:M2$	With rhyming or otherwise beautiful words.
p		4.4.1	map	map	!di/tu	tabula	cartu		qtul		$x_1$ is a map of $x_2:$ by $x_3:M2$	
p		4.4.1	prose	proz	|san/uen	orat.yo	proza	krme	pror		$x_1$ is a piece of prose about (vo) $x_2:$ by $x_3:M2$	Ordinary speech as opposed to a poem.
p		4.4.1	history	hystori	!li|qr	hystorya	cisti	kqnu	stor		$x_1$ is a history of (vo) $x_2:$ by $x_3:M2$	A factual report of event or process X2.
p		4.4.1	story	stori	!gu-qr	fabula	stuci		xgur		$x_1$ is a story about (vo) $x_2:$ by $x_3:M2$	X2 is an event or process, not necessarily factual, and the interest is in describing it.
r		4.4.1,4.4.5	plan	plan	!ji!hua	forma	danci		pla		$x_1$ is a plan for (vo) $x_2:$ by $x_3:M2$	
t		4.4.2	Other Documents	-	-	-			442		$x_1:$ is a document about topic $x_2$ by author $x_3$	
p		4.4.2	memo,note,notice	not	!ji!lu	lybel.us	noxta*		beyl		$x_1$ is a memo about (vo) $x_2:$ by $x_3:M2$ to recipient $x_4:M3$	A memo is supposed to be a short letter, easily remembered.
r		4.4.2	describe	deskraib	/siw/r#w	deskryb.ere			der		$x_1$ is a description of (vo) $x_2:$ given by $x_3:M2$	Use -jai -fw -der for saying a description.
p		4.4.2	letter	letr	!sin	epystula	lerci		stul		$x_1$ is a letter about (vo) $x_2:$ from $x_3:M2$ to recipient $x_4M3$	
p		4.4.2	gene	jin	-ji-in		jgina*		vjin		$x_1$ is a gene for phenotype (vo) $x_2$ of organism (xi) $x_3$	
p		4.4.2	journal,newspaper,magazine	jrnl	!r!bau	akta-dyurna	barnu*		dyrn		$x_1$ is a journal about (vo) $x_2:$ from publisher $x_3$	Normally published regularly, each issue contains related stories, descriptions, etc.
q		4.4.2,2.3.2	comment	kament	/piw!ju	dykt.um	pinka*		vdy		$x_1M2$ makes comment (bi) $x_2@$ about affair (vo) $x_3+$ to listener (ju) $x_4M3$	
r		4.4.2,4.7.1	rite,ceremony,ritual	rytiu#l	|li	rit.us	ritli*	ga,jil,jrm	tri		(vo) $x_1@!$ is a ceremony or ritual about (vo) $x_2:+$ of culture (xy) $x_3s$	
p		4.4.2,4.7.2	ticket	tyk#t	!piau	tesera	ketpi		spia		$x_1$ is a ticket allowing attendee $x_2$ to do activity (vo) $x_3+2$ from impresario $x_4$	
p		4.4.2,4.7.3	bill	byl	!jaw-dan	rat.yo	kanti		vdaw		$x_1$ is a bill of account for services or goods $x_2$ from vendor $x_3$ to buyer $x_4$	X4 is supposed to pay X3 for X2.
p		4.4.2,4.7.4	passport	pasport	!hu!jau		paspo		spau		$x_1$ is a passport issued to traveller $x_2$ by government $x_3$ for travel in country $x_4$	
t		4.4.3	Records and Information	-	-	-			443			
q		4.4.3	code,cypher,encrypt	kod	-mi|ma	notae	mifra*	qkia,saw	bzo		$x_1$ is a coded record of plain text $x_2*$ using code $x_3$	Code is secret writing.  Use -qkia for the key.
q		4.4.3	document	dakiument	/uen!jian	lyterae	dokta		dva		$x_1$ is a document in which author $x_3$ says that fact (vo) $x_2+$ is true	No case merge.
p		4.4.3	flag	flag	/ci	veksyl.um	flaci		flyl		$x_1$ is a flag of organization $x_2*$	
q		4.4.3	print	prynt	!in-qua/pin	ymprym.ere	capri	pym	fpr		$x_1$ is a printed image of original $x_2$ on media $x_3$	
q		4.4.3	mark	mark	|dian	nota	marka		sta		$x_1$ is a mark on media $x_2*$	Use -syry -sta for spot.
q		4.4.3	label	laibl	-tie|jr	-		xim,dre	vbl		$x_1$ is a label for object $x_2$	Descriptive writing on or near it.  Use -xe -bn -vbl to get its text.  Use -xim for ``name''.
p		4.4.3	page	paij	!ie	pagyna	pidri		xgyn		$x_1$ is a page in book $x_2$	
q		4.4.3	record,medium	rekrd	!ji!dzai	tabulae	rirda		zda		$x_1$ is a record describing event (vo) $x_2+$ on medium $x_3$	
r		4.4.3,3.7.4	datum,statistic	data	-dz!liau		datni*		dal		$x_1$ is a datum about object $x_2$ its property (vo) $x_3+2$	The degree or presence/absence of the property.
p		4.4.3,4.7.2	advertise	advrtiz	|guaw!gau	proscryb.ere	virta		dvro		$x_1$ is an advertisement about services or goods $x_2*$ appearing in publication $x_3$	X3 includes non-print media
t		4.4.4	Signs and Symbols	-	-	-			444			
r		4.4.4	address	adres	!dy|jr	ynskript.yo	judri*	der,vbl	dre		(bi) $x_1$ is an address of object $x_2*$	A sign or text saying which X2 is chosen, often for sending messages.
r		4.4.4	answer,question	ansr	/huei/da	respons.um	retpi	xue,srn,stm	pon		(bi) $x_1$ is an answer to question (bi) $x_2@$ from interrogator $x_3$	
r		4.4.4	connotation	kanotaqn	!nai/han				qna		(vo) $x_1@$ is a connotation of word (bi) $x_2$	A meaning beyond the official referent set.  Discouraged in \guaspi.
r		4.4.4	mean,sign	sain	!i-sz	sygnyfyk.are	sanpa	vbr	sni		sign $x_1$ has meaning (vo) $x_2$ to listener $x_3$	X1 should have a similar referent set to ``!xe -vo X2'' or ``!xe -vn -X2'', except X1 may be foreign or non-language.  Use -vbl for a placard.
r		4.4.4	view	viu	-f#w|jiw	prospekt.us	vidju		viw		$x_1$ is a view of object $x_2$ from viewpoint $x_3$	
r	25	4.4.4	name	naim	/miw.-dz	nomen	namci	vbl,xgnl	xim		the referent of nameholder $x_1$ has the name $x_2$	To assign a name to an argument you need -ga (performative), e.g. (argument) |ga -xim =(name).
q		4.4.4	news	nuz	-sin/uen	nunty.us	nuzvo		gzn		(vo) $x_1@!$ is a piece of news about affair (vo) $x_2+$ from source $x_3$	
r		4.4.4,4.5.3	date,time	dat	!r/ci	temp.us	detri*	qrau	tem		$x_1M4$ is the date of event (vo) $x_2+$ starting with unit (xu-jani) $x_3*$ in calendar $x_4$	X1 is a list of (xu) numbers, largest first.  X2 auto-converts.  X3 compounds.  Hour: -tem -qrau
t		4.4.5	Ideas	-	-	-			445			
r		4.4.5	religion	rilyj#n	-dzuw!jiau	relyg.yo	lidji	qew,tri	jil		(vo) $x_1$ is a religious belief or practice of people (xy) $x_2s*$	
r		4.4.5	art	art	!i!qu	ars	larte	dur	qar		$x_1$ practices art (xo-vo) $x_2+1$	The art of doing some activity.
r		4.4.5	holy,sacred	holi	!qew/jie	saker	censa*	jil	qew		$x_1$ is sacred to people (xy) $x_2s*$	Usually an object or place; use -jil for activity.
r		4.4.5	model	madl	/muo/siw	eksemplar		toi	sml		$x_1$ is a model of real object (xo) $x_2*$	A metaphoric object, usually small, showing only essential features.
r		4.4.5	toy	toi	/uan!jiu			sml	toi		$x_1$ is a toy representing real objct (xo) $x_2*$	A metaphoric object used for playing.
r		4.4.5	idea	aidia	!i-sz	not.yo	vidre		xno		$x_1$ is an idea about affair (vo) $x_2+$	
r		4.4.5,4.7.2	industry	yndustri	-guw!ie	yndustrya	gotri	qar	dur		$x_1$ is an industrial art for making goods (xi) $x_2*$	|tue for culture.
t		4.4.6	Linguistics and Language Elements	-	-	-			446			
r		4.4.6	language	languaj	|u/ian	lingua	lengu	quo	gua		$x_1$ is a language of culture $x_2$	
q		4.4.6	voice	vois	-qew	voks	volsa		gvo		$x_1$ is a vocal signal of creature $x_2*$	
q		4.4.6	word	urd	!hua	verb.um	purda	sni,qury	vbr		(bu) $x_1$ is a word of language $x_2$ with meaning $x_3$	X3's referent set suggests what ``-xe X1'' would produce if it were \guaspi\  --- training aid only.
q		4.4.6	grammar,syntax	gramr	/uen|fa	gramatyka	gerna*		zga		$x_1$ is a grammar of language $x_2$	
r		4.4.6	rhyme	raim	-ia/un		rimni*		zim		word (bi) $x_1@$ rhymes with word (bi) $x_2$	
t		4.4.7	\protect\Guaspi\ Grammatical Categories	-	-	-			447			
p		4.4.7	article	artikl	-	-			tirl	gadri1=>1 ?	$x_1$ is an article	Prefix which selects referent subset.
p		4.4.7	consonant	kons#n#nt	|fu-in	konsonans		vumu	kona		$x_1$ is a consonant phoneme	
p		4.4.7	vowel	vaul	|mu-in		marli	kona	vumu		$x_1$ is a vowel phoneme	
p		4.4.7	predicate	predyk#t	!qu|u	atrybut.yo	bridi*	vbr	qury		(bu) $x_1$ is a predicate word of \guaspi\  with meaning $x_2$	X2's referent set suggests what ``-xe X1'' would produce --- training aid only.  
p		4.4.7	case,parameter	kas	-	kas.us		gna,dlmo	skam		$x_1$ is the first case of relation (vo) $x_2+$	Convert X2 for N'th case.  Use -qin for case occupant or actual argument.
p		4.4.7	pronoun	pronaun	!dai/miw/tsz	pronomen			spro		$x_1$ is a pronoun	
p		4.4.7	letter	letr	!dz|mu	lytera	letra		tler		$x_1$ is a letter of alphabet $x_2$	Of the alphabet that goes with language X2.
p		4.4.7	restrict,phrase	ristrykt	!qo!qien!j#.-de	fyn.yre		zdua	triy		(bi) $x_1$ is a restrictive phrase	
p		4.4.7	tone	ton	-in!diau				dinu		$x_1$ is the tone of word (bu) $x_2$	
p		4.4.7	assert	asert	-suaw!gau	adfyrmat.yo		zdua	garm		(bi) $x_1$ is an assertion	
p		4.4.7	modal	modl	-	-		gna,skam,qin	dlmo		$x_1$ is the modal case of relation (vo) $x_2@!$ on dimension (vo) $x_3+$	-qin |dlmo for actual argument.  X3 is the modal predicate and X1 is its 2nd case after autoconversion.
p		4.4.7	mood	mud	|u!ci	mod.us			cimu		$x_1$ is a mood prefix word	
p		4.4.7	phrase,sentence,argument	fraiz	|duan!ju	lokut.yo	steti		zdua		(bi) $x_1$ is a phrase of language $x_2*$	X2 typically is \guaspi.  Use -sym -zdua for main or discourse-level sentence.
r		4.4.7,1.1.3,1.5.6	referent	min	!i-sz	vys	marni*		zin		$x_1$ is in the referent set of word (bi) $x_2$	Use !xu to get the whole set. 
t		4.5.0	Units of Measure	-	-	-			450			A unit is a function that multiplies an expression by a basis element giving the class of events that big on the relevant dimension.
t		4.5.1	Units of Time	-	-	-			451		$x_1:$ is in the equivalence class of value (xu) $x_2$	
p		4.5.1	second	sek#nd	|miau	moment.um	sekmi		dman		$x_1$ IEC (xu) $x_2:*$ seconds	SI basis unit of time.
p		4.5.1	year	ir	/nian	an.us	nirne		jani		$x_1$ IEC (xu) $x_2:*$ years	
p		4.5.1	hour	aur	|siau/qr	hora	jorta	tem	qrau		$x_1$ IEC (xu) $x_2:*$ hours	
p		4.5.1	month	m#nt	!ue	mens.ys	mensa		jeme		$x_1$ IEC (xu) $x_2:*$ months	
p		4.5.1	minute	myn#t	-f#n	punkt.um	minta		tyny		$x_1$ IEC (xu) $x_2:*$ minutes	
p		4.5.1	day	dai	-tian	di.es	denli		vdia		$x_1$ IEC (xu) $x_2:*$ days	
p		4.5.1	week	uik	|li!bai		likta		xbai		$x_1$ IEC (xu) $x_2:*$ weeks	
t		4.5.2	Units of Other Dimensions	-	-	-			452		$x_1:$ is in the equivalence class of value (xu) $x_2$	
p		4.5.2	radian,angle	radian	-	-			dini		$x_1$ IEC (xu) $x_2:*$ times one radian of angle	1/2pi of a circle.
r		4.5.2	quantity,ful	ful	|man		kanli	kun	ful		$x_1$ IEC value (xu) $x_3$ times the capacity of container (xi) $x_2*$	As in spoonful.
p		4.5.2	mole	mol	-		molro*		cmol		$x_1$ IEC (xu) $x_2:*$ moles	CGS and (apparently) SI basis unit of amount of material, 6.02E23 atoms or molecules.
p		4.5.2	kelvin,degree	kelvyn	-	-	kelvo*		gvyn		$x_1$ IEC (xu) $x_2:*$ degrees Kelvin	SI basis unit of temperature.
p		4.5.2	candela	kandela	-	-	cando*		dean		$x_1$ IEC (xu) $x_2:*$ candela	SI basis unit of luminosity.
p		4.5.2	kilogram	kylogram	-cian!k#	-	kigra		kyam		$x_1$ IEC (xu) $x_2:*$ kilograms	SI basis unit of mass.  Not compound (kilo-gram) in \guaspi.
p		4.5.2	steradian	stiraidi#n	-		stero*		stir		$x_1$ IEC (xu) $x_2:*$ times one steradian of solid angle	1/4pi of a sphere.
p		4.5.2	degree	degri	|jiau!du		dugri		vdei		$x_1$ IEC (xu) $x_2:*$ times one degree of angle	1/360 of a circle.
p		4.5.2	meter	mitr	-guw|c#	dekempeda	metro		dmem		$x_1$ IEC (xu) $x_2:*$ meter	SI basis unit of length.
p		4.5.2	gram	gram	-	-	gramo		gram		$x_1$ IEC (xu) $x_2:*$ grams	CGS basis unit for mass.
r		4.5.2,4.7.3	money,piece,dollar	m#ni	/cian	num.us	pesra		cni		$x_1$ IEC (xu) $x_2:*$ basis money units of culture $x_3$	You may attach the native money word by metaphor.
t		4.6.0	Categories of Humans and Others	-	-	-			460			
t		4.6.1	Reproductive and Family Status	-	-	-			461			
r	14	4.6.1	child	cild	/hai.-dz	puer			cil		$x_1$ is a child of parent $x_2$	Human only.
p		4.6.1	man	man	/nan/ren	vyr	mrenu		dvyr		$x_1$ is a male human	
r		4.6.1	female	fimail	-tz	femyna	femdi		fmy		$x_1$ is a female of species $x_2*$	
p		4.6.1	girl	grl	|nu.-dz	puela	nirli		gnue		$x_1$ is a girl of parents $x_2$	Female human child.
q		4.6.1	person	prs#n	/ren	homo	pernu		pso	prenu1=>1	$x_1$ is a person	Not necessarily human.
q		4.6.1	woman	u#m#n	|nu/ren	femyna	fumna		cfn		$x_1$ is a female human	
r		4.6.1	male	mail	-guw	vyryl.ys	mendi		vyl		$x_1$ is a male of species $x_2*$	
q		4.6.1	human	hiumn	/ren	homo	humni		vdm	remna1=>1	$x_1$ is a human	
p		4.6.1	boy	boi	/nan/hai	puer	botci		vboi		$x_1$ is a boy of parents $x_2$	Male human child.
r		4.6.1,4.6.2	adult	#d#lt	/qew/ren	pubes		bia	bew		$x_1$ is an adult	Any species.
r		4.6.1,4.6.2	baby	baibi	-iw/hai	infans	cinta	bew	bia		$x_1$ is a baby of parents $x_2$	Any species.
p		4.6.1,4.6.2	embryo,fetus	fit#s	-tai/r	fet.us	tarbi*		tfir		$x_1$ is a fetus of parents $x_2$	Any species.
t		4.6.2	Family Relations	-	-	-			462			Of all areas where \guaspi\ is culturally biased, the family relations are the most blatant.
p		4.6.2	son	s#n	/er.-dz	fyly.us	sunho		cfyl		male $x_1:$ is the son of parents $x_2$	X2 is any sex, may include both parents.
p		4.6.2	father	fatr	!fu	pater	farfu		fter		male $x_1:$ is the father of offspring $x_2$ by female mother $x_3$	
p		4.6.2	brother	brotr	-siuw!di	frater	brudi		trer		male $x_1:$ is a brother of sibling $x_2$ by parents $x_3$	
p		4.6.2	mother	m#tr	|mu-cin	mater	matma		term		female $x_1:$ is the mother of offspring $x_2$ by male father $x_3$	
p		4.6.2	sibling	syblyw	-qow!di|jie!mei				qwow		$x_1:$ is a sibling of $x_2:$ by parents $x_3$	
p		4.6.2	sister	systr	|jie-jie	soror	sorme		soro	mensi1=>1,mensi2=>2	female $x_1:$ is a sister of sibling $x_2$ by parents $x_3$	
p		4.6.2	daughter	datr	|nu/er	filya	detra		drya	tixnu	female $x_1:$ is a daughter of parents $x_2$	X2 is any sex, may include both parents.
t		4.6.3	Ordinary Professions	-	-	-			463			
p		4.6.3	warrior	uarior	!jan!qr	myl.es	bilca		jror		$x_1$ is a warrior of nation $x_2$	
p		4.6.3	secretary	sekr#teri	-qu!ji	skribu	mukri		skri		$x_1$ is a secretary of bureaucrat $x_2$	
p		4.6.3	soldier	soldir	-biw	myl.es	solda		dmyl	sonci1=>1	$x_1$ is a soldier of nation $x_2$	Land warrior.
p		4.6.3	student	student	/sue-qew	dyskypul.us	stude		stue		$x_1$ is a student at school $x_2$ studying skill (xo-vo) $x_3+1$	
p		4.6.3,4.7.4	police	polis	|jiw/ca	aedyl.es	pulji*		pliw	pulji1=>1	$x_1$ is a policeman of organization $x_2$	X2 is the unit protected, e.g. city, state.  Includes private security forces.
p		4.6.3,4.7.4	diplomat,consul	dyplamat	|liw!shr	legat.us	konsu		plma		$x_1$ is a diplomat of nation $x_2$ in place $x_3$	
t		4.6.4	Other Professions	-	-	-			464			
p		4.6.4	deputy,vice	depiuti	!fu	legat.us	vipsi*	juou	fuiu		$x_1$ is a deputy to chief $x_2*$	X1 has X2's authority when X2 isn't there.
r		4.6.4	captain	kapten	|jaw	prynkeps	kapta		ken	bende3=>1, bende1=>2	$x_1$ is the captain of team or crew (xy) $x_2s$	Includes ship captains.
p		4.6.4	assistant	asystant	!ju|qou	adyutor	helba	fuiu,bwu	juou		$x_1$ is an assistant to chief $x_2*$	X1 cannot do X2's job alone.
